# h (km)	m (g cm–2)	T (K)	V (km s–1)	p_{\mathrm{g}\,} (dyn cm–2)	p_{\mathrm{tot}\,} (dyn cm–2)	n_{\mathrm{H}\,} (cm–3)	n_{\mathrm{H}\,1} (cm–3)	n_{\mathrm{e}\,} (cm–3)
1	6.80844E+04	1.178E–06	1.586E+06	3.400E+01	3.142E–02	3.227E–02	6.233E+07	8.860E+00	7.491E+07
2	4.70093E+04	1.553E–06	1.410E+06	3.400E+01	4.131E–02	4.256E–02	9.217E+07	1.522E+01	1.108E+08
3	3.60795E+04	1.820E–06	1.294E+06	3.400E+01	4.827E–02	4.986E–02	1.174E+08	2.164E+01	1.411E+08
4	2.66766E+04	2.112E–06	1.170E+06	3.400E+01	5.583E–02	5.787E–02	1.502E+08	3.152E+01	1.805E+08
5	2.11331E+04	2.325E–06	1.080E+06	3.400E+01	6.127E–02	6.369E–02	1.786E+08	4.163E+01	2.147E+08
6	1.53920E+04	2.592E–06	9.637E+05	3.400E+01	6.801E–02	7.102E–02	2.221E+08	6.013E+01	2.669E+08
7	1.15962E+04	2.808E–06	8.650E+05	3.400E+01	7.333E–02	7.694E–02	2.667E+08	8.348E+01	3.206E+08
8	8.97424E+03	2.986E–06	7.783E+05	3.400E+01	7.756E–02	8.180E–02	3.135E+08	1.133E+02	3.768E+08
9	7.36082E+03	3.112E–06	7.117E+05	3.400E+01	8.044E–02	8.526E–02	3.556E+08	1.455E+02	4.274E+08
10	5.76283E+03	3.256E–06	6.293E+05	3.400E+01	8.355E–02	8.920E–02	4.177E+08	2.034E+02	5.021E+08
11	4.96864E+03	3.338E–06	5.774E+05	3.400E+01	8.516E–02	9.145E–02	4.641E+08	2.560E+02	5.578E+08
12	4.29586E+03	3.415E–06	5.243E+05	3.400E+01	8.653E–02	9.356E–02	5.193E+08	3.303E+02	6.242E+08
13	3.75271E+03	3.485E–06	4.716E+05	3.400E+01	8.757E–02	9.548E–02	5.842E+08	4.361E+02	7.022E+08
